"","DATESTAMP","COLOR","HHID","UNIQUE_HHID","HAVEPHONE","SPOUSEMOBILE","NUMOTHERPHONES","PRIMARYCOOK","AGE","FUEL","KNOWLUNCH","LUNCHYESTERDAY","WOODLASTWEEK","WOODLASTMONTH","GATHERWOODWEEK","GATHERLASTMONTH","VEHICLE","STOVES","DECISIONS","NOTES","DATESURVEY","PARISH","DATE","GROUP","MAXBID","MAXBIDNOVEL","SALE_DATE","SERIALNUMBER","PAID_PRICE","GENDER","STATUS","INCOME","HOWPAID","MAINEMPLOYER","TIMEEMPLOYED","HAVEPHONE1","SPOUSEMOBILE1","COWS","HOWMANYCOWS","VEHICLE1","TV","RADIO","FUEL1","WOODLASTWEEK1","WOODLASTMONTH1","GATHERWOODWEEK1","GATHERLASTMONTH1","STOVES1","PRIMARYCOOK1","PRIMARYCOOK2","DECISIONS1","DECISIONS2","TYPICALNUMEATING","WINNING_AMOUNT","WIN_TRADITIONAL_OFFER","WIN_NOVEL_OFFER","DEPOSIT_ON_SALES_DAY","PAID_IN_FULL","BALANCE_DUE_AFTER_SALES_MEETING","TOTAL_COLLECTED","RETURNED","DEFAULT","PAYMENT_COMPLETE","AMOUNT_REFUNDED","NOTES_WINNERS","DATE_SALE","FORECASTED_COLLECTION","ACTUAL_COLLECTION","FEMALE","HAVEPHONE2","VEHICLE_DISCRETE","BICYCLE_DUMMY","CAR_DUMMY","MOTORCYCLE_DUMMY","RADIO_DUMMY","BUYWOOD_DUMMY","GATHERWOOD_DUMMY","RESPONDENT_PRIMARY_COOK","HH_PHONES","WOOD","MARRIED1","MARRIED","TIME_EMPLOYED","WIFECOOK","JOINTDECISION","TSF_PRIMARY","SELFEMPLOYED","KNOWLUNCH_Dummy","TYPICALNUMEATING_Dummy","CASHPAID_Dummy","INCOME_Dummy","COWS_Dummy","TV_Dummy","ASSET_TOTAL","No_message","Improves_Health","Time_Money_Health","Time_Money","Female_AGE","Female_MARRIED","Female_WIFECOOK","Female_JOINTDECISION","Female_KNOWLUNCH_Dummy","Female_LUNCHYESTERDAY","Female_HH_PHONES","Female_INCOME_Dummy","Female_MOTORCYCLE_DUMMY","Female_CAR_DUMMY","Female_RADIO_DUMMY","Female_COWS_Dummy","Female_TV_Dummy","Female_WOOD","Female_TSF_PRIMARY","Female_BUYWOOD_DUMMY","Female_GATHERWOOD_DUMMY","Female_TotalAsset"
"1","2002-08-12 16:45","Yellow","D",11,"Yesnonumber","No",NA,"Spouse",43,"Wood","Yes",6,"No","No","Yes","Yes","Bicycle","Built-in Mud Stove","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Improves Health",27.8330019880716,35.7852882703777,NA,NA,NA,"Male","Married (monogamous)","Yes","Cash and in-kind","Self-employed","All year","Participant owns phone","Spouse does not own phone","No",NA,"Bicycle","No","Yes","Wood","No","No","Yes","Yes","Built-in Mud Stove","Spouse","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Bicycle",1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,"1",1,1,0,0,117.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2002-08-12 15:09","White","W",56,"No",NA,NA,"Other",25,"Wood","No",NA,"No","No","Yes","Yes","None","None","Father or Mother","Ok","08-Feb-12","Bujaga","2002-08-12","No Message",NA,NA,NA,NA,NA,"Male","Single (never married)","Yes","Cash and in-kind","Self-employed","All year","Participant does not own phone",NA,"Yes","0-5 cows","None","No","Yes","Wood","No","No","Yes","Yes","None","Other","Other","Father or Mother","Father or Mother",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"None",0,0,0,1,0,1,0,2,1,0,0,1,0,0,1,1,0,NA,1,1,1,0,770.52,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"3","2002-08-12 15:28","Yellow","U",52,"Yes","Yes but I don`t know the phone number",NA,"Respondent",39,"Wood","Yes",4,"Yes","Yes","No","No","None","Built-in Mud Stove","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Improves Health",11.9284294234592,15.9045725646123,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash and in-kind","Family member","All year","Participant owns phone","Spouse owns phone","Yes","0-5 cows","None","No","Yes","Wood","Yes","Yes","No","No","Built-in Mud Stove","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"None",0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,"0",1,1,1,0,804.78,0,1,0,0,39,1,1,1,1,4,1,1,0,0,1,1,0,1,0,1,0,804.78
"4","2002-08-12 15:16","Pink","D",9,"No","No",NA,"Respondent",36,"Wood","Yes",3,"No","No","Yes","Yes","None","None","Spouse","no","08-Feb-12","Bujaga","2002-08-12","Time, Money and Health",3.97614314115308,3.97614314115308,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Non-family member","All year","Participant does not own phone","Spouse does not own phone","No",NA,"None","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Spouse","Husband","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"None",0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,"0",1,1,0,0,13.83,0,0,1,0,36,1,1,0,1,3,0,1,0,0,1,0,0,1,1,0,1,13.83
"5","2002-08-12 16:47","Orange","E",12,"No","No",NA,"Respondent",37,"Wood","Yes",6,"No","No","Yes","Yes","Bicycle","None","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Saves Time and Money",39.7614314115308,79.5228628230616,"2002-08-12","EG1JO84946",39.7614314115308,"Female","Married (monogamous)","Yes","Cash only","Self-employed","Seasonal","Participant does not own phone","Spouse does not own phone","No",NA,"Bicycle","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had more than usual",39.7614314115308,0,1,9.9403578528827,0,75000,0,1,0,0,25000,NA,"08-Feb-12","29-Mar-12","27-Apr-12",1,0,"Bicycle",1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,"0",1,1,0,0,83.53,0,0,0,1,37,1,1,1,1,6,0,1,0,0,1,0,0,1,1,0,1,83.53
"6","2002-08-12 15:16","Orange","O",33,"Yes","Yes I can enter the phone number",NA,"Respondent",39,"Wood","Yes",3,"No","No","Yes","Yes","Bicycle","None","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Saves Time and Money",3.97614314115308,7.95228628230616,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Self-employed","Seasonal","Participant owns phone","Spouse owns phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Bicycle",1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,"0",1,1,1,0,874.48,0,0,0,1,39,1,1,1,1,3,1,1,0,0,1,1,0,1,1,0,1,874.48
"7","2002-08-12 16:23","Pink","C",7,"Yes",NA,NA,"Other",20,"Wood","Yes",6,"No","No","Yes","Yes","None","None","Father or Mother","no","08-Feb-12","Bujaga","2002-08-12","Time, Money and Health",1.98807157057654,3.18091451292247,NA,NA,NA,"Male","Single (never married)","No",NA,NA,NA,"Participant owns phone",NA,"No",NA,"None","No","Yes","Wood","No","No","Yes","Yes","None","Other","Other","Father or Mother","Father or Mother","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"None",0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,1,"0",NA,0,0,0,48.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2002-08-12 15:33","Yellow","A",3,"Yes","No",NA,"Respondent",37,"Wood","Yes",9,"No","No","Yes","Yes","Bicycle","Built-in Mud Stove","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Improves Health",25.844930417495,31.8091451292247,NA,NA,NA,"Female","Married (monogamous)","No",NA,NA,NA,"Participant owns phone","Spouse does not own phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","Built-in Mud Stove","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Bicycle",1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,"1",NA,0,1,0,874.48,0,1,0,0,37,1,1,1,1,9,1,0,0,0,1,1,0,1,0,0,1,874.48
"9","2002-08-12 15:36","Orange","K",24,"No","No",NA,"Respondent",67,"Wood","Yes",5,"No","No","Yes","Yes","Bicycle","None","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Saves Time and Money",0.795228628230616,0.795228628230616,NA,NA,NA,"Female","Married (monogamous)","No",NA,NA,NA,"Participant does not own phone","Spouse does not own phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Bicycle",1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,"0",NA,0,1,0,840.22,0,0,0,1,67,1,1,1,1,5,0,0,0,0,1,1,0,1,1,0,1,840.22
"10","2002-08-12 15:05","Pink","Y",61,"No","Yes but I don`t know the phone number",NA,"Respondent",35,"Wood","Yes",7,"No","No","Yes","Yes","Bicycle","None","Spouse","no","08-Feb-12","Bujaga","2002-08-12","Time, Money and Health",1.98807157057654,1.98807157057654,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Self-employed","All year","Participant does not own phone","Spouse owns phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Spouse","Husband","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Bicycle",1,0,0,1,0,1,1,2,1,1,1,1,1,0,1,1,1,"1",1,1,1,0,840.22,0,0,1,0,35,1,1,0,1,7,2,1,0,0,1,1,0,1,1,0,1,840.22
